layer_name,mobile_processing,server_processing,transmission,end_to_end
input,13,6,215,241
conv1_1,42,6,964,1027
norm1,52,6,967,1042
pool1,40,6,320,371
conv2_1,57,5,310,381
norm2,62,4,296,366
pool2,56,7,153,222
conv3_1,76,4,200,284
conv4_1,77,11,253,349
conv5_1,77,12,22,116
pool5,77,4,12,98
Reshape_5,76,3,31,114
fc6/fc6,253,8,18,283
Relu,259,11,18,292
fc7/fc7,305,5,18,334
Relu_1,349,10,31,395
fc8/fc8,372,1,19,396
softmax,363,0,0,363
